Sector 1,Sector 2,Similarity Score
Wood & Carpentry,Wood & Carpentry,100.0
"Water Supply, Sewerage, Waste Management & Remediation activities","Water Supply, Sewerage, Waste Management & Remediation activities",100.0
Paints & Coatings,Paints & Coatings,100.0
Power,Power,83.67992953279241
Sports,Sports,83.33637850584377
Apparel,Apparel,82.94073643830498
Furniture & Fittings,Furniture & Fittings,81.15667342476993
Domestic Workers,Domestic Workers,81.10307530583042
Life Sciences,Life Sciences,80.81344131713809
Retail,Retail,80.55250664180456
Food Processing,Food Processing,80.28889914611408
Telecom,Telecom,80.11512750543487
PwD,PwD,79.93745313958368
Mining,Mining,79.39916110134942
Cross Sectoral,Cross Sectoral,79.38776123655481
Leather,Leather,79.30123156936014
Logistics,Logistics,79.2432003055174
Tourism & Hospitality,Tourism & Hospitality,79.15598843871456
Infrastructure Equipment,Infrastructure Equipment,78.41780276821412
BFSI,BFSI,78.25895630636388
Green Jobs,Green Jobs,78.21918446925886
Iron and Steel,Iron and Steel,78.08884753477922
Agriculture,Agriculture,77.99213560595673
Information Technology Sector,Information Technology Sector,77.97903960334158
Plumbing,Plumbing,77.77470673383027
Capital Goods & Manufacturing,Capital Goods & Manufacturing,77.55482819257317
Healthcare,Healthcare,77.50176071991693
Automotive,Automotive,76.78071265314766
Retail,Wood & Carpentry,76.46069109901909
Wood & Carpentry,Retail,76.46069109901909
Hydrocarbon,Hydrocarbon,76.31102974212811
"Education, Training & Research","Education, Training & Research",76.305555314264
Instrumentation,Instrumentation,75.60422965744432
"Water Supply, Sewerage, Waste Management & Remediation activities",Power,74.75672402538447
Power,"Water Supply, Sewerage, Waste Management & Remediation activities",74.75672402538447
Handicrafts and Carpet,Handicrafts and Carpet,73.5444037150812
Wood & Carpentry,PwD,73.42470307262374
PwD,Wood & Carpentry,73.42470307262374
Wood & Carpentry,Sports,73.40488804560385
Sports,Wood & Carpentry,73.40488804560385
Construction,Construction,73.06382286833838
Management,Management,72.88980993080746
IT-ITeS,IT-ITeS,72.87682211178249
Cross Sectoral,"Water Supply, Sewerage, Waste Management & Remediation activities",72.53911623234865
"Water Supply, Sewerage, Waste Management & Remediation activities",Cross Sectoral,72.53911623234865
Apparel,Leather,72.31334347848659
Leather,Apparel,72.31334347848659
Tourism & Hospitality,Wood & Carpentry,72.27049950075116
Wood & Carpentry,Tourism & Hospitality,72.27049950075116
Mining,Power,71.79018043060664
Power,Mining,71.79018043060664
Wood & Carpentry,Domestic Workers,71.77872871044555
Domestic Workers,Wood & Carpentry,71.77872871044555
Electronics,Electronics,71.45684324896824
Domestic Workers,PwD,71.41763822903413
PwD,Domestic Workers,71.41763822903413
Sports,Domestic Workers,71.26653162449477
Domestic Workers,Sports,71.26653162449477
PwD,Sports,71.2458906308611
Sports,PwD,71.2458906308611
Wood & Carpentry,BFSI,71.01500168014482
